close,datetime,datetimeISO8601,high,low,open,volume
126.17,1148446800000,,126.89,124.76,125.68,168404990
127.73,1148533200000,,127.73,126.43,126.92,78977904
128.38,1148619600000,,128.38,127.51,128.00999,62989700
126.1,1148965200000,,128.0,126.05,127.97,72419904
127.51,1149051600000,,127.51,126.2,126.62,86926200
128.73,1149138000000,,128.94,127.27,127.38,73721696
129.03999,1149224400000,,129.42999,128.32001,129.25,91642704
127.12,1149483600000,,128.86,126.77,128.85001,86105104
126.81,1149570000000,,127.38,125.76,127.21,130498600
125.86,1149656400000,,127.65,125.79,126.91,108599400
125.75,1149742800000,,126.5,123.87,125.58,204957200
125.35,1149829200000,,126.96,125.29,126.36,94972200
123.99,1150088400000,,125.93,123.82,125.88,95815904
122.55,1150174800000,,124.84,122.55,123.74,185688800
123.5,1150261200000,,123.63,122.34,122.84,163566400
126.12,1150347600000,,126.36,123.86,123.95,134057000
124.65,1150434000000,,125.56,124.46,125.29,94253504
123.67,1150693200000,,125.48,123.55,125.4,95804400
124.09,1150779600000,,124.81,123.72,124.01,65494700
125.01,1150866000000,,125.7,123.96,124.0,75008200
124.46,1150952400000,,125.06,124.04,124.95,74566096
124.44,1151038800000,,125.3,124.03,124.33,54107000
124.99,1151298000000,,125.06,124.25,124.54,37899600
123.91,1151384400000,,125.29,123.77,125.01,69780200
124.75,1151470800000,,124.77,123.65,124.19,62368100
127.27,1151557200000,,127.35,125.17,125.2,110634800
127.28,1151643600000,,127.66,126.96,127.54,54227800
127.8,1151902800000,,128.00999,127.31,127.43,23914000
127.07,1152075600000,,127.45,126.52,127.29,69653400
127.44,1152162000000,,127.85,127.08,127.2,50100300
126.61,1152248400000,,127.56,126.29,127.19,81626496
126.85,1152507600000,,127.43,126.41,126.94,60964100
127.41,1152594000000,,127.41,125.94,126.61,73640800
126.05,1152680400000,,127.4,125.72,127.15,82561296
124.0,1152766800000,,125.68,124.0,125.45,102405696
123.52,1152853200000,,124.26,122.83,124.13,103242496
123.34,1153112400000,,124.1,123.15,123.52,81159000
123.97,1153198800000,,124.05,122.39,123.71,122771000
125.69,1153285200000,,126.26,123.72,124.18,133565296
124.83,1153371600000,,126.3,124.66,126.12,112259800
123.95,1153458000000,,125.19,123.82,125.15,101560000
126.21,1153717200000,,126.32,124.44,124.44,92884000
126.66,1153803600000,,127.3,125.72,125.98,95480704
126.83,1153890000000,,127.45,126.18,126.59,84525800
126.71,1153976400000,,127.69,126.2,127.38,87257104
127.98,1154062800000,,128.14,126.86,127.04,82137000
127.85,1154322000000,,127.96,127.45,127.66,49593100
127.22,1154408400000,,127.38,126.6,127.34,65225600
128.08,1154494800000,,128.46001,127.55,127.58,64770900
128.42,1154581200000,,128.55,127.15,127.34,63693800
128.2,1154667600000,,129.42999,127.48,129.08,96294200
127.95,1154926800000,,128.08,127.4,127.9,45377300
127.41,1155013200000,,128.46001,126.95,128.09,90901296
126.98,1155099600000,,128.60001,126.61,128.17999,78910600
127.37,1155186000000,,127.5,126.28,126.58,69322304
127.01,1155272400000,,127.2,126.39,127.17,47482200
127.11,1155531600000,,128.16,126.92,127.63,57839000
128.63,1155618000000,,128.87,127.9,128.25,68143000
129.7,1155704400000,,129.89,129.03999,129.32001,71737600
130.03,1155790800000,,130.37,129.49001,129.58,70992800
130.69,1155877200000,,130.69,129.59,130.19,58288400
130.13,1156136400000,,130.28,129.8,130.17999,42133600
130.12,1156222800000,,130.52,129.67999,129.99001,60839900
129.75999,1156309200000,,130.44,129.19,130.17999,66592100
129.64999,1156395600000,,130.10001,129.39999,129.99001,57983000
129.81,1156482000000,,130.25,129.55,129.64,41756000
130.42999,1156741200000,,130.82001,129.64,129.64999,52681500
130.58,1156827600000,,130.83,129.81,130.49001,61817800
130.66,1156914000000,,131.03999,130.55,130.87,50052200
130.64,1157000400000,,130.99001,130.58,130.85001,37510300
